자,C,수;10,수;20,0;0
축,Db,수;9,금;3,토;18
축,C#,수;9,금;3,토;18
인,D,토;7,화;7,목;16
묘,Eb,목;10,목;20,0;0
묘,D#,목;10,목;20,0;0
진,E,목;9,수;3,토;18
사,F,토;7,금;7,화;16
오,F#,화;10,토;9,화;11
미,G,화;9,목;3,토;18
신,Ab,토;7,수;7,금;16
신,G#,토;7,수;7,금;16
유,A,금;10,금;20,0;0
술,Bb,금;9,화;3,토;18
술,A#,금;9,화;3,토;18
해,B,토;7,목;7,수;16
